cities,neighborhoods,saleDates,addresses,helka,kinds,rooms,floors,sizes,prices,changes
אשדוד,"רובע י""א",25.11.2020,קישון 11,2196-29-17,דירה בבית קומות,4,חמישית,85.50,"1,200,000", 
אשדוד,"רובע י""א",22.11.2020,קדרון 14,2195-31-28,דירה בבית קומות,3,שביעית,69.04,"1,480,000",4% ב 3.9 שנים
אשדוד,"רובע י""א",19.11.2020,נחל לכיש 9,2197-105-21,דירה בבית קומות,3,חמישית,62.15,"1,500,000",213% ב 22 שנים
אשדוד,"רובע י""ב",27.12.2020,כוכב הדרום 4,2438-21-21,דירה בבית קומות,5,חמישית,154.45,"2,520,000",98% ב 12.7 שנים
אשדוד,"רובע י""ב",25.12.2020,שבט דן 18,2438-14-47,דירה בבית קומות,3,רביעית,96.99,"1,730,000", 
אשדוד,"רובע י""ב",25.12.2020,שבט דן 10,2438-12-83,דירה בבית קומות,5,חמישית,108,"1,950,000", 
אשדוד,"רובע י""ב",22.12.2020, ,2438-6-5,דירה בבית קומות,4,שלישית,114,"1,980,000", 
אשדוד,"רובע י""ב",17.12.2020,סיון 12,2439-12-36,דירה בבית קומות,4,ראשונה,89.75,"1,680,000",26% ב 5.7 שנים
אשדוד,"רובע י""ב",17.12.2020, ,2438-6-6,דירה בבית קומות,4,רביעית,114,"2,020,000", 
אשדוד,"רובע י""ב",14.12.2020,אדר 9,2440-7-17,דירה בבית קומות,4,רביעית,86.05,"1,615,000",32% ב 6.5 שנים
אשדוד,"רובע י""ב",08.12.2020, ,2438-6-7,דירה בבית קומות,4,שלישית,114,"2,025,000", 
אשדוד,"רובע י""ב",07.12.2020,ניסן 10,2439-19-15,דירה בבית קומות,4,שניה,82.58,"1,725,000",1% ב 3.6 שנים
אשדוד,"רובע י""ב",07.12.2020, ,2438-6-8,דירה בבית קומות,4,שמינית,112,"2,070,000", 
אשדוד,"רובע י""ב",04.12.2020,חשון 11,2440-15-2,דירה בבית קומות,4,קרקע,119.60,"2,600,000",67% ב 7.8 שנים
אשדוד,"רובע י""ב",03.12.2020, ,2438-6-9,דירה בבית קומות,3,רביעית,80,"1,655,000", 
אשדוד,"רובע י""ב",03.12.2020,כוכב הדרום 4,2438-21-49,דירה בבית קומות,5,חמישית,157.65,"2,540,000", 
אשדוד,"רובע י""ב",29.11.2020,כוכב השחר 1,2440-4-23,דירה בבית קומות,4,רביעית,115,"1,880,000", 
אשדוד,"רובע י""ב",26.11.2020,שבט 12,2440-11-29,דירת גן,5,קרקע ראשונה,111,"2,475,000", 
אשדוד,"רובע י""ב",25.11.2020,אדר 4,2440-19-18,דירה בבית קומות,3,שביעית,103,"1,600,000", 
אשדוד,"רובע י""ב",23.11.2020,אייר 12,2439-16-48,דירה בבית קומות,3.5,רביעית,89.75,"1,630,000",122% ב 13.3 שנים
אשדוד,"רובע י""ב",22.11.2020,כסלו 36,2440-22-4,קוטג' דו משפחתי,6,ראשונה,151,"3,025,000", 
אשדוד,"רובע י""ב",19.11.2020,שבט בנימין 41,2438-16-16,דירה בבית קומות,4,ראשונה,85.22,"1,730,000",40% ב 6.6 שנים
אשדוד,"רובע י""ג",07.01.2021,המלך אמציה 2,2396-21-27,דירה בבית קומות,5,שניה + שלישית,96.66,"1,575,000", 
אשדוד,"רובע י""ג",31.12.2020,המלך עמרי 2,2396-27-51,דירה בבית קומות,4,חמישית,71.30,"1,300,000",23% ב 5.8 שנים
אשדוד,"רובע י""ג",21.12.2020,המלך שלמה 6,2395-10-9,דירה בבית קומות,5,שלישית + רביעית,104,"1,660,000", 
אשדוד,"רובע י""ג",17.12.2020, ,2394-21-0,חנות,0,שניה,2935,"500,000", 
אשדוד,"רובע י""ג",07.12.2020,המלך יהוא 3,2395-26-251,דירה בבית קומות,4,שישית,77.90,"1,580,000",11% ב 3 שנים
אשדוד,"רובע י""ג",03.12.2020,יהואש 6,2396-22-14,דירה בבית קומות,4,ראשונה,82.33,"1,415,000",2% ב 2.1 שנים
אשדוד,"רובע י""ג",03.12.2020,המלך רחבעם 26,2395-16-55,דירה בבית קומות,4,שישית,80.80,"1,520,000",38% ב 8.7 שנים
אשדוד,"רובע י""ג",03.12.2020,המלך יהויכין 6,2393-18-2,דירה בבית קומות,4,קרקע,83.89,"2,100,000", 
אשדוד,"רובע י""ג",01.12.2020,המלך אמציה 13,2396-19-23,דירה בבית קומות,4,ראשונה,82.33,"1,450,000",9% ב 4.6 שנים
אשדוד,"רובע י""ג",25.11.2020,המלך אמציה 11,2396-19-13,דירה בבית קומות,4,ראשונה,82.30,"1,480,000",111% ב 12.3 שנים
אשדוד,"רובע י""ג",17.11.2020,המלך אמציה 11,2396-19-16,דירה בבית קומות,3,שניה,62.03,"1,385,000",10% ב 4.5 שנים
אשדוד,"רובע י""ג",16.11.2020,המלך חזקיה 1,2395-8-22,דירה בבית קומות,4,ראשונה,63,"1,350,000",64% ב 9 שנים
אשדוד,"רובע י""ג",16.11.2020,המלך יהויכין 7,2393-8-37,דירה בבית קומות,4,שניה,78,"1,500,000", 
אשדוד,"רובע י""ג",12.11.2020,יהואש 6,2396-22-27,דירה בבית קומות,3,שניה,62.06,"1,180,000", 
אשדוד,"רובע י""ג",08.11.2020,המלך אמציה 8,2396-25-42,דירה בבית קומות,3,שלישית,66,"1,450,000", 
אשדוד,"רובע י""ג",03.11.2020,המלך יהויכין 11,2393-11-61,דירה בבית קומות,5,שמינית,102,"1,830,000", 
אשדוד,"רובע י""ג",29.10.2020,המלך אמציה 23,2396-28-25,דירה בבית קומות,4,ראשונה,82.30,"1,300,000", 
אשדוד,"רובע י""ג",29.10.2020,המלך יהושפט 6,2395-9-9,דירה בבית קומות,4,שלישית רביעית,104,"1,700,000", 
אשדוד,"רובע י""ג",28.10.2020,המלך יהוא 3,2395-26-138,דירה בבית קומות,5,שניה,100.50,"1,665,000", 
אשדוד,"רובע י""ז",20.12.2020,ברקת 7,2003-61-128,דירה בבית קומות,5,קומה 1,164.45,"3,000,000", 
אשדוד,"רובע י""ז",08.12.2020,תל חי 40,2670-21-108,דירה בבית קומות,4,חמישית,97,"1,940,000",7% ב 1.5 שנים
אשדוד,"רובע י""ז",06.12.2020,תל חי 32,2670-22-86,דירה בבית קומות,5,ראשונה,131.60,"2,220,000", 
אשדוד,"רובע י""ז",03.12.2020,תל חי 26,2670-22-5,דירה בבית קומות,5,ראשונה,131.30,"2,300,000",130% ב 13.1 שנים
אשדוד,"רובע י""ז",03.12.2020,אגת-שבו 2,3172-191-1,קוטג' חד משפחתי,5,ראשונה,266,"5,750,000", 
אשדוד,"רובע י""ז",24.11.2020,תל חי 42,2670-21-134,דירה בבית קומות,4,חמישית,97,"1,940,000", 
אשדוד,"רובע י""ז",10.11.2020,סיטרין 1,2670-23-30,דירה בבית קומות,4,ראשונה,115.17,"1,870,000", 
אשדוד,"רובע י""ז",05.11.2020,אמרלד 8,2002-129-2,דירת גן,6,ראשונה,172,"3,850,000", 
אשדוד,"רובע י""ז",01.11.2020,שהם 2,2670-19-45,דירה בבית קומות,4.5,שישית,169,"2,170,000", 
אשדוד,"רובע י""ז",20.10.2020,ספיר 11,3172-30-38,דירה בבית קומות,4,עשירית,125,"2,000,000", 
אשדוד,"רובע י""ז",12.10.2020,סיטרין 3,2670-23-133,דירה בבית קומות,4,חמישית,117.93,"1,940,000", 
אשדוד,"רובע י""ז",23.09.2020,ספיר 11,3172-30-68,דירה בבית קומות,5,שישית,166.80,"2,900,000",81% ב 10 שנים
אשדוד,"רובע י""ז",15.09.2020,נופך 36,2002-234-1,דירה בבית קומות,6,שלישית,224,"4,400,000", 
אשדוד,"רובע י""ז",14.09.2020,תל חי 38,2670-21-90,דירה בבית קומות,3,שמינית,82,"1,660,000",182% ב 17 שנים
אשדוד,"רובע י""ז",13.09.2020,תל חי 40,2670-21-106,דירה בבית קומות,4,חמישית,99,"1,905,000", 
אשדוד,"רובע י""ז",03.09.2020,תל חי 40,2670-21-105,דירה בבית קומות,4,רביעית,97,"1,900,000", 
אשדוד,"רובע י""ז",04.08.2020,שהם 18,2670-19-44,דירה בבית קומות,5,תשיעית,190,"2,490,000", 
אשדוד,"רובע י""ז",28.06.2020,ספיר 3,2670-20-65,דירה בבית קומות,5,ראשונה+שניה,133.40,"2,520,000",50% ב 6 שנים
אשדוד,"רובע י""ז",11.06.2020,ברקת 1,2003-61-5,דירה בבית קומות,5,קומה 0,164.90,"3,250,000",120% ב 11.3 שנים
אשדוד,רובע מיוחד,06.12.2020, ,181-59-8,משרד,0,שניה,74,"840,000", 
אשדוד,רובע מיוחד,30.10.2020, ,2013-5-1,תעשיה,0, ,90,"702,000", 
אשדוד,רובע מיוחד,15.09.2020, ,2013-38-1,מסחרי + משרדים,0, ,4970,"16,898,000", 
אשדוד,רובע מיוחד,17.07.2020, ,181-59-7,משרד,0, ,74,"1,743,000", 
אשדוד,רובע מיוחד,05.07.2020, ,181-46-2,תעשיה,0, ,60,"295,000", 
אשדוד,רובע מיוחד,07.06.2020, ,2022-7-1,ללא תיכנון,0, ,6885,"176,260,000", 
אשדוד,רובע מיוחד,02.06.2020, ,2022-7-2,ללא תיכנון,0, ,9086,"120,000,000", 
אשדוד,רובע מיוחד,13.05.2020, ,180-47-1,ללא תיכנון,0, ,6374,"18,000,000", 
אשדוד,רובע מיוחד,10.05.2020, ,2022-4-1,מסחרי + מגורים,0, ,5290,"118,000,000", 
אשדוד,רובע מיוחד,26.02.2020, ,2013-2-9,מסחרי + משרדים,0, ,4980,"6,000,000", 
אשדוד,רובע מיוחד,01.12.2019, ,181-59-3,משרד,0,רביעית,1472,"12,659,000", 
אשדוד,רובע מיוחד,01.12.2019, ,181-59-10,חנות,0,ראשונה,692,"13,341,000", 
אשדוד,רובע מיוחד,19.11.2019, ,2022-4-2,מגורים,0, ,2255,"19,800,000", 
אשדוד,רובע מיוחד,05.11.2019, ,181-59-2,משרד,0,חמישית,57,"575,000", 
אשדוד,רובע מיוחד,04.11.2019, ,181-59-11,משרד,0,חמישית,237,"1,074,000", 
אשדוד,רובע מיוחד,29.10.2019, ,181-59-13,משרד,0,שניה,88,"629,000", 
אשדוד,רובע מיוחד,21.08.2019, ,2013-2-10,משרד,0,רביעית,75,"700,000", 
אשדוד,רובע מיוחד,14.08.2019, ,2013-2-11,משרד,0,רביעית,100,"966,000", 
אשדוד,רובע מיוחד,27.06.2019, ,2013-2-12,משרד,0,שניה,4976,"350,000", 
אשדוד,רובע סיטי,28.12.2020,העצמאות 19,2448-6-98,דירה בבית קומות,5,שלישית,132.70,"1,915,000",59% ב 7.4 שנים
אשדוד,רובע סיטי,27.12.2020,העצמאות 8,2448-10-75,דירה בבית קומות,4,ראשונה,109.30,"1,630,000", 
אשדוד,רובע סיטי,24.12.2020,העצמאות 2,2447-7-45,דירה בבית קומות,6,שמינית+תשיעית,135.80,"2,150,000", 
אשדוד,רובע סיטי,21.12.2020,החלוצים 5,2447-5-263,דירה בבית קומות,4,שביעית,97.70,"1,830,000",38% ב 7.2 שנים
אשדוד,רובע סיטי,20.12.2020,הציונות 34,2450-10-97,דירה בבית קומות,4,קומה 11,108.60,"1,920,000",35% ב 8.2 שנים
אשדוד,רובע סיטי,17.12.2020,הציונות 45,2449-10-11,דירה בבית קומות,3,שתים עשרה,89,"1,370,000", 
אשדוד,רובע סיטי,16.12.2020,נצח ישראל 12,2450-5-37,דירה בבית קומות,4,ראשונה,91.19,"1,625,000",22% ב 5.5 שנים
אשדוד,רובע סיטי,14.12.2020,הציונות 125,2449-1-296,דירה בבית קומות,4,רביעית,114.46,"1,790,000", 
אשדוד,רובע סיטי,07.12.2020,העצמאות 101,2447-6-37,דירה בבית קומות,5,ראשונה,131.30,"2,200,000", 
אשדוד,רובע סיטי,06.12.2020,בגין מנחם 1,2449-11-28,דירה בבית קומות,3,אחת עשרה,101,"1,450,000", 
אשדוד,רובע סיטי,03.12.2020,ה' באייר 8,2450-24-200,דירה בבית קומות,6,"ראשונה, שניה, שלישית",172.05,"2,580,000", 
אשדוד,רובע סיטי,02.12.2020,הציונות 127,2449-1-182,דירה בבית קומות,4,שניה,113.44,"1,750,000", 
אשדוד,רובע סיטי,02.12.2020,העצמאות 85,2448-11-22,דירה בבית קומות,4,חמישית,120,"1,760,000", 
אשדוד,רובע סיטי,30.11.2020,העצמאות 35,2448-6-169,דירה בבית קומות,5,שלישית,141.65,"2,255,000",168% ב 18.1 שנים
אשדוד,רובע סיטי,29.11.2020,התקוה 8,2450-9-91,דירה בבית קומות,5,רביעית,147,"1,850,000", 
אשדוד,רובע סיטי,29.11.2020,הציונות 50,2449-2-42,דירה בבית קומות,4,שמינית,107.80,"1,880,000", 
אשדוד,רובע סיטי,26.11.2020,הציונות 73,2449-8-141,דירה בבית קומות,4,ראשונה,117,"1,860,000", 
אשדוד,רובע סיטי,18.11.2020,העצמאות 89,2447-8-14,דירה בבית קומות,4,שמינית,106,"1,550,000", 
אשדוד,רובע סיטי,15.11.2020,העצמאות 22,2448-10-317,דירה בבית קומות,4,שלישית,102.10,"1,850,000",42% ב 7.9 שנים
אשקלון,אזור תעשיה גבעת ציון,22.12.2019,,1207-100-1,חנות,0,קרקע,214.60,"994,000",29% ב 3.7 שנים
אשקלון,אזור תעשיה גבעת ציון,16.09.2018,,1207-105-4,תעשיה,0,קרקע,214.60,"1,980,000", 
אשקלון,אזור תעשיה גבעת ציון,07.08.2016,המסגר 1,1208-74-2,מחסנים,0,ראשונה,26,"217,000", 
אשקלון,אזור תעשיה גבעת ציון,28.04.2016, ,1207-92-2,תעשיה,0, ,82,"400,000", 
אשקלון,אזור תעשיה גבעת ציון,01.04.2016,הנגר 8,1207-94-1,תעשיה,0, ,301,"3,166,000", 
אשקלון,אזור תעשיה גבעת ציון,25.01.2016,,1207-92-3,תעשיה,0, ,85,"550,000", 
אשקלון,אזור תעשיה גבעת ציון,21.06.2015,,1207-106-2,תעשיה,0,קרקע,105.80,"600,000", 
אשקלון,אזור תעשיה גבעת ציון,02.11.2014,הנגר 10,1207-93-7,תעשיה,0,קרקע,91.25,"410,000",33% ב 12 שנים
אשקלון,אזור תעשיה גבעת ציון,02.11.2014,,1207-92-4,תעשיה,0, ,92,"410,000", 
אשקלון,אזור תעשיה גבעת ציון,15.06.2012,הנגר 5,1207-103-1,תעשיה,0,קרקע,105.60,"350,000",16% ב 0.5 שנים
אשקלון,אזור תעשיה גבעת ציון,20.12.2010,,1207-92-5,תעשיה,0, ,90,"230,000", 
אשקלון,אזור תעשיה גבעת ציון,07.02.2010,המסגר 1,1208-74-1,חנות,0, ,2000,"5,099,000", 
אשקלון,אזור תעשיה גבעת ציון,22.09.2009,המסגר 4,1207-57-2,קוטג' דו משפחתי,2,קרקע,40,"210,000",94% ב 11.5 שנים
אשקלון,אזור תעשיה גבעת ציון,19.05.2009, ,1207-97-1,תעשיה,0, ,1000,"3,200,000", 
אשקלון,אזור תעשיה גבעת ציון,27.11.2005, ,1207-52-1,דירה בבית קומות,3,ראשונה,96,"495,000", 
אשקלון,אזור תעשיה גבעת ציון,26.07.2005,,1207-92-6,תעשיה,0,ראשונה,87,"195,000", 
אשקלון,אזור תעשיה גבעת ציון,24.10.2004,,1207-92-7,תעשיה,0,ראשונה,135,"292,000", 
אשקלון,אזור תעשיה גבעת ציון,01.03.2004,,1207-100-2,תעשיה,0,קרקע,214.40,"416,000", 
אשקלון,אזור תעשיה גבעת ציון,30.04.2001,הנגר 3,1207-104-2, ,4,קרקע, ,"496,000", 
אשקלון,אזור תעשיה דרומי,12.08.2020, ,3064-4-1,ללא תיכנון,0, ,32413,"52,918,000", 
אשקלון,אזור תעשיה דרומי,18.11.2019, ,3066-19-1,תעשיה,0, ,5006,"11,992,000", 
אשקלון,אזור תעשיה דרומי,23.10.2019, ,3069-11-2,תעשיה,0, ,3500,"43,029,000", 
אשקלון,אזור תעשיה דרומי,16.09.2019, ,3063-13-2,תעשיה,0, ,24000,"44,217,000", 
אשקלון,אזור תעשיה דרומי,01.08.2019, ,3069-11-1,תעשיה,0, ,20139,"32,000,000", 
אשקלון,אזור תעשיה דרומי,28.02.2019, ,3065-23-1,חנות,0, ,3050,"14,650,000", 
אשקלון,אזור תעשיה דרומי,13.01.2019, ,3065-14-1,תעשיה,0, ,6920,"21,000,000", 
אשקלון,אזור תעשיה דרומי,11.12.2018, ,3065-28-1,תעשיה,0, ,1571,"7,950,000", 
אשקלון,אזור תעשיה דרומי,10.10.2018,האופה 3,3064-21-2,תעשיה,0, ,8114,"13,000,000", 
אשקלון,אזור תעשיה דרומי,11.06.2018, ,3063-13-1,תעשיה,0, ,30949,"32,390,000", 
אשקלון,אזור תעשיה דרומי,15.04.2018, ,3067-10-2,תעשיה,0, ,1675,"6,750,000", 
אשקלון,אזור תעשיה דרומי,28.02.2018, ,3063-12-4,תעשיה,0,ראשונה,2879,"19,500,000", 
אשקלון,אזור תעשיה דרומי,01.10.2017, ,3066-12-1,תעשיה,0, ,4003,"5,000,000", 
אשקלון,אזור תעשיה דרומי,07.05.2017,העמל 11,3068-26-1,תעשיה,0,ראשונה,720,"3,300,000", 
אשקלון,אזור תעשיה דרומי,05.09.2016, ,3068-15-1,מסחרי + מגורים,0, ,4156,"7,449,000", 
אשקלון,אזור תעשיה דרומי,06.06.2016,חוצות היוצר 9,3065-21-1,תעשיה,0, ,12771,"14,500,000", 
אשקלון,אזור תעשיה דרומי,02.04.2015,,1730-8-1,תעשיה,0,ראשונה,1629,"7,000,000", 
אשקלון,אזור תעשיה דרומי,08.12.2014,,1731-15-1,תעשיה,0, ,250,"3,680,000", 
אשקלון,אזור תעשיה דרומי,29.09.2014,,1731-7-1,תעשיה,0, ,2500,"9,350,000", 
אשקלון,אזור תעשיה צפוני,23.09.2020, ,1216-82-20,עסק,1, ,454,"3,800,000",
אשקלון,אזור תעשיה צפוני,16.09.2020,,1216-82-22,עסק,1, ,175,"1,105,000",
אשקלון,אזור תעשיה צפוני,13.09.2020, ,1216-82-17,עסק,1, ,84,"574,000",
אשקלון,אזור תעשיה צפוני,12.07.2020, ,1216-82-16,משרד,0, ,243,"2,495,000", 
אשקלון,אזור תעשיה צפוני,21.05.2020, ,1214-132-78,משרד,0,קומה 5,38,"440,000",-17% ב 4.3 שנים
אשקלון,אזור תעשיה צפוני,18.05.2020,,1216-82-23,תעשיה,0, ,195,"2,000,000", 
אשקלון,אזור תעשיה צפוני,22.04.2020,,1220-46-4,מלאכה,0,קרקע,54.83,"300,000",175% ב 15.5 שנים
אשקלון,אזור תעשיה צפוני,07.04.2020, ,1220-63-1,ללא תיכנון,0, ,2176,"25,211,000", 
אשקלון,אזור תעשיה צפוני,08.03.2020,,1216-82-24,תעשיה,0, ,153,"1,400,000", 
אשקלון,אזור תעשיה צפוני,08.03.2020, ,1216-82-15,עסק,1, ,134,"1,638,000",
אשקלון,אזור תעשיה צפוני,02.01.2020, ,1216-82-12,עסק,1, ,25,"51,000",
אשקלון,אזור תעשיה צפוני,02.01.2020,,1216-82-25,תעשיה,0, ,112,"584,000", 
אשקלון,אזור תעשיה צפוני,02.01.2020, ,1216-82-13,עסק,1, ,94,"684,000",
אשקלון,אזור תעשיה צפוני,02.01.2020, ,1216-82-14,עסק,1, ,112,"814,000",
אשקלון,אזור תעשיה צפוני,09.12.2019, ,1216-82-11,תעשיה,0, ,67,"353,000", 
אשקלון,אזור תעשיה צפוני,08.12.2019, ,1214-132-72,חנות,0,קומה 4,58.65,"630,000",10% ב 5.7 שנים
אשקלון,אזור תעשיה צפוני,05.12.2019,,1216-82-28,תעשיה,0, ,155,"1,400,000", 
אשקלון,אזור תעשיה צפוני,27.11.2019,,1216-82-29,תעשיה,0, ,98,"625,000", 
אשקלון,אזור תעשיה צפוני,27.11.2019, ,1216-82-10,עסק,1, ,80,"731,000",
אשקלון,אפרידר,04.02.2021,הסנה 28,1942-134-36,דירה בבית קומות,3,שלישית,79.60,"965,000", 
אשקלון,אפרידר,03.02.2021,צפניה 2,1932-60-37,דירה בבית קומות,4,שלישית,76.80,"945,000", 
אשקלון,אפרידר,27.01.2021,הלימון 1,1932-69-97,דירה בבית קומות,3,שניה,70,"900,000", 
אשקלון,אפרידר,27.01.2021, ,1942-181-85,דירה בבית קומות,5,אחת עשרה,168,"1,870,000", 
אשקלון,אפרידר,27.01.2021,חזקיהו 11,1961-77-2,קוטג' דו משפחתי,3,ראשונה,60.35,"2,090,000", 
אשקלון,אפרידר,24.01.2021,התמר 18,1960-29-1,קוטג' דו משפחתי,4,ראשונה,109,"2,790,000", 
אשקלון,אפרידר,22.01.2021,הסנה 26,1942-161-63,דירה בבית קומות,4,רביעית,106.40,"1,350,000",9% ב 4.9 שנים
אשקלון,אפרידר,19.01.2021,גבעתי 6,2871-92-22,דירה בבית קומות,4,שלישית,80,"950,000", 
אשקלון,אפרידר,19.01.2021,הסנה 2,1942-157-61,דירה בבית קומות,5,שניה,104.45,"1,425,000", 
אשקלון,אפרידר,18.01.2021,בר כוכבא 31,2871-97-8,דירה בבית קומות,3,שניה,69,"930,000",141% ב 11.6 שנים
אשקלון,אפרידר,18.01.2021,הלימון 1,1932-69-98,דירה בבית קומות,4,ראשונה,88,"1,135,000", 
אשקלון,אפרידר,18.01.2021,ברייר דב 13,1932-69-96,דירה בבית קומות,4,חמישית,100,"1,250,000", 
אשקלון,אפרידר,17.01.2021,הסנה 28,1942-134-42,דירה בבית קומות,3,חמישית,79.90,"990,000",22% ב 4.1 שנים
אשקלון,אפרידר,17.01.2021,הסנה 8,1942-158-23,דירה בבית קומות,3,שביעית,66,"1,175,000",56% ב 9.1 שנים
אשקלון,אפרידר,17.01.2021,דרום אפריקה 32,2872-111-9,דירה בבית קומות,4,שלישית,79,"1,000,000",11% ב 4.5 שנים
אשקלון,אפרידר,16.01.2021,ברייר דב 1,1942-177-86,דירה בבית קומות,4,חמישית,100,"1,365,000", 
אשקלון,אפרידר,14.01.2021,האלון 22,1961-48-1,קוטג' דו משפחתי,4,ראשונה,81.40,"2,200,000", 
אשקלון,אפרידר,12.01.2021,השריונאים 4,2870-35-1,דירה בבית קומות,6,ראשונה,168,"3,092,000", 
אשקלון,אפרידר,11.01.2021,עוזר אריה 14,1241-58-35,דירה בבית קומות,3,ראשונה,81,"809,000", 
אשקלון,באר גנים,06.01.2021,רותם המדבר 2,3151-171-1,בית בודד,5,ראשונה,170,"2,800,000", 
אשקלון,באר גנים,16.11.2020, ,3153-163-1,קרקע למגורים,0, ,500,"1,500,000", 
אשקלון,באר גנים,16.11.2020,נוף ים 36,3151-188-1,בית בודד,6,ראשונה,180,"2,600,000", 
אשקלון,באר גנים,11.11.2020, ,3153-206-1,קרקע למגורים,0, ,515,"1,465,000", 
אשקלון,באר גנים,03.11.2020, ,3155-157-1,קרקע למגורים,0, ,505,"1,690,000", 
אשקלון,באר גנים,22.09.2020, ,3151-136-1,קוטג' חד משפחתי,5,ראשונה,220,"3,100,000", 
אשקלון,באר גנים,21.07.2020, ,399-133-1,קרקע למגורים,0, ,498,"1,600,000", 
אשקלון,באר גנים,02.07.2020, ,3152-189-1,קרקע למגורים,0, ,500,"1,400,000", 
אשקלון,באר גנים,09.06.2020, ,3153-100-1,קרקע למגורים,0, ,506,"1,220,000", 
אשקלון,באר גנים,04.06.2020, ,3153-55-1,קרקע למגורים,0, ,1016,"1,430,000", 
אשקלון,באר גנים,31.05.2020, ,3155-118-1,קרקע למגורים,0, ,501,"929,000", 
אשקלון,באר גנים,24.05.2020,נוף ים 28,3151-184-1,קוטג' חד משפחתי,5,ראשונה,220,"2,250,000", 
אשקלון,באר גנים,14.05.2020, ,3155-107-1,קרקע למגורים,0, ,501,"1,400,000", 
אשקלון,באר גנים,13.05.2020, ,3155-179-1,בית בודד,5, ,150,"2,980,000", 
אשקלון,באר גנים,23.04.2020, ,3153-127-1,קרקע למגורים,0, ,486,"1,050,000", 
אשקלון,באר גנים,03.03.2020, ,3155-116-1,קוטג' חד משפחתי,5, ,198,"3,000,000", 
אשקלון,באר גנים,16.12.2019, ,3151-62-1,בית בודד,5, ,164,"2,450,000", 
אשקלון,באר גנים,22.08.2019,,399-138-1,בית בודד,6, ,250,"3,375,000", 
אשקלון,באר גנים,10.07.2019, ,395-79-1,קוטג' חד משפחתי,6, ,200,"3,100,000", 
אשקלון,בן גוריון,01.02.2021,יהודה הלוי 13,1964-53-29,דירה בבית קומות,4,שלישית,80,"820,000",157% ב 20.2 שנים
אשקלון,בן גוריון,21.01.2021,אברבנאל 7,1962-34-14,דירה בבית קומות,4,שלישית,70,"860,000",2% ב 3.5 שנים
אשקלון,בן גוריון,18.01.2021,ההסתדרות 1,1962-113-3,דירה בבית קומות,3,שניה,62.40,"800,000",110% ב 10.2 שנים
אשקלון,בן גוריון,06.01.2021,ביאליק 44,1964-108-25,דירה בבית קומות,3,קרקע,46,"705,000",8% ב 2.8 שנים
אשקלון,בן גוריון,05.01.2021,הרב עוזיאל 3,1963-22-14,דירה בבית קומות,3,רביעית,51.90,"695,000",104% ב 7.5 שנים
אשקלון,בן גוריון,01.01.2021,בן גוריון 28,1963-78-76,דירה בבית קומות,4,שניה,80.40,"865,000", 
אשקלון,בן גוריון,28.12.2020,"חיד""א 7",1963-44-11,דירה בבית קומות,3,שניה,40.70,"635,000",58% ב 6.8 שנים
אשקלון,בן גוריון,27.12.2020,ביאליק 42,1964-107-21,דירה בבית קומות,3,ראשונה,48,"288,000", 
אשקלון,בן גוריון,24.12.2020,"חיד""א 6",1963-53-33,דירה בבית קומות,3,שניה,48.50,"720,000", 
אשקלון,בן גוריון,17.12.2020,יהודה הלוי 32,1962-144-47,דירה בבית קומות,3,קרקע,83,"1,020,000", 
אשקלון,בן גוריון,15.12.2020,"חיד""א 7",1963-44-4,דירה בבית קומות,4,ראשונה,103,"820,000", 
אשקלון,בן גוריון,10.12.2020,"י""ל פרץ 6",1964-51-9,דירה בבית קומות,3,שלישית,40.70,"665,000",11% ב 3.5 שנים
אשקלון,בן גוריון,10.12.2020,בן גוריון 28,1963-78-29,דירה בבית קומות,4,שלישית,81.60,"850,000",233% ב 12.9 שנים
אשקלון,בן גוריון,02.12.2020,ביאליק 42,1964-107-5,דירה בבית קומות,3,ראשונה,48,"660,000",69% ב 8.5 שנים
אשקלון,בן גוריון,24.11.2020,בן גוריון 18,1962-110-6,דירה בבית קומות,2,ראשונה,34,"790,000",64% ב 5 שנים
אשקלון,בן גוריון,22.11.2020,בן גוריון 26,1963-78-62,דירה בבית קומות,4,שלישית,69.20,"793,000", 
אשקלון,בן גוריון,12.11.2020,"חת""ם סופר 2",1962-48-8,דירה בבית קומות,5,שניה,100,"950,000",58% ב 7.1 שנים
אשקלון,בן גוריון,11.11.2020,יהודה הלוי 3,1964-102-15,דירה בבית קומות,3,ראשונה,46,"675,000",50% ב 6.1 שנים
אשקלון,בן גוריון,30.09.2020,בן גוריון 32,1963-81-33,דירה בבית קומות,3,חמישית,59.40,"700,000", 
אשקלון,ברנע,03.02.2021,"אחימאיר אב""א 103",1938-51-12,דירה בבית קומות,4,ראשונה,82,"1,250,000",38% ב 5.2 שנים
אשקלון,ברנע,03.02.2021,יפתח הגלעדי 71,1937-289-2,קוטג' דו משפחתי,5,ראשונה,220,"3,850,000", 
אשקלון,ברנע,20.01.2021,קדש 39,1935-230-67,דירה בבית קומות,4,שניה,109.10,"1,350,000",125% ב 18.5 שנים
אשקלון,ברנע,06.01.2021,גדעון בן יואש 40,1937-422-22,דירה בבית קומות,4,שישית,106.40,"980,000", 
אשקלון,ברנע,29.12.2020,לשם 3,1937-369-99,דירה בבית קומות,4,שניה,90,"1,205,000",102% ב 11.5 שנים
אשקלון,ברנע,17.12.2020,ירושלים 115,1935-223-77,דירה בבית קומות,5,שלישית,124,"1,700,000", 
